survey,load_cmd,cy_data,wt,source,year,notes,gesis_id,filepath
ae01,"ae01 <- read_dta(""gesis_files/ZA0078/ZA0078_v1-0-1.dta"")","data_frame(v3 = 1:5, c_dcpo = c(""Deutschland"", ""France"", ""Nederland"", ""Belgique"", ""Luxembourg""), y_dcpo=1962)",NA,GESIS: ZA0078,1962,there is no weight variable in this survey,ZA0078,~/Documents/Projects/Data/gesis_files/eb_files/ZA0078/
eb02,"eb02 <- read_dta(""gesis_files/ZA0986/ZA0986_v1-0-1.dta"")","data_frame(v5 = 1:9, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom""), y_dcpo=1974)","wt <- t_data$v3; wt[grep(""FR"", t_data$isocntry)] <- t_data$v4[grep(""FR"", t_data$isocntry)]",GESIS: ZA0986,1974,"there is a sepcific weight, v4, for rural France",ZA0986,~/Documents/Projects/Data/gesis_files/eb_files/ZA0986/
eb03,"eb03 <- read_dta(""gesis_files/ZA0987/ZA0987_v1-0-1.dta"")","data_frame(v4 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1975)",wt <-t_data$v3,GESIS: ZA0987,1975,there is only one weight for the whole Europe,ZA0987,~/Documents/Projects/Data/gesis_files/eb_files/ZA0987/
eb04,"eb04 <- read_dta(""gesis_files/ZA0988/ZA0988_v1-0-1.dta"")","data_frame(v4 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1975)",wt <-t_data$v3,GESIS: ZA0988,1975,there is only one weight for the whole Europe,ZA0988,~/Documents/Projects/Data/gesis_files/eb_files/ZA0988/
eb05,"eb05 <- read_dta(""gesis_files/ZA0989/ZA0989_v1-0-1.dta"")","data_frame(v4 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1976)",wt <-t_data$v3,GESIS: ZA0989,1976,there is only one weight for the whole Europe,ZA0989,~/Documents/Projects/Data/gesis_files/eb_files/ZA0989/
eb06,"eb06 <- read_dta(""gesis_files/ZA0990/ZA0990_v1-0-1.dta"")","data_frame(v4 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1976)",wt <-t_data$v3,GESIS: ZA0990,1976,there is only one weight for the whole Europe,ZA0990,~/Documents/Projects/Data/gesis_files/eb_files/ZA0990/
eb07,"eb07 <- read_dta(""gesis_files/ZA0991/ZA0991_v1-0-1.dta"")","data_frame(v7 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1977)","wt <- t_data$v5; wt[grep(""FR"", t_data$isocntry)] <- t_data$v6[grep(""FR"", t_data$isocntry)]",GESIS: ZA0991,1977,"there is a sepcific weight, v6, for rural France",ZA0991,~/Documents/Projects/Data/gesis_files/eb_files/ZA0991/
eb08,"eb08 <- read_dta(""gesis_files/ZA0992/ZA0992_v1-0-1.dta"")","data_frame(v8 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1977)","wt <- t_data$v5; wt[grep(""FR"", t_data$isocntry)] <- t_data$v6[grep(""FR"", t_data$isocntry)]; wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v7[grep(""GB\\-"", t_data$isocntry)]",GESIS: ZA0992,1977,the first year with UK weight,ZA0992,~/Documents/Projects/Data/gesis_files/eb_files/ZA0992/
eb09,"eb09 <- read_dta(""gesis_files/ZA0993/ZA0993_v1-0-1.dta"")","data_frame(v8 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1978)","wt <- t_data$v5; wt[grep(""FR"", t_data$isocntry)] <- t_data$v6[grep(""FR"", t_data$isocntry)]; wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v7[grep(""GB\\-"", t_data$isocntry)]",GESIS: ZA0993,1978,NA,ZA0993,~/Documents/Projects/Data/gesis_files/eb_files/ZA0993/
eb10,"eb10 <- read_dta(""gesis_files/ZA0994/ZA0994_v1-0-1.dta"")","data_frame(v8 = 1:10, c_dcpo = c(""France"", ""Belgium"", ""Netherlands"", ""Germany"", ""Italy"", ""Luxembourg"", ""Denmark"", ""Ireland"", ""United Kingdom"", ""United Kingdom""), y_dcpo=1978)","wt <- t_data$v5; wt[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", t_data$isocntry)] <- t_data$v6[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", t_data$isocntry)]; wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v7[grep(""GB\\-"", t_data$isocntry)]",GESIS: ZA0994,1978,"including a specific ""National Weight"", v6, for the Fench, Dutch, British and Danish samples; not UK Weight",ZA0994,~/Documents/Projects/Data/gesis_files/eb_files/ZA0994/
